,code,m_ics,w_ics,year,total_asset,lt_debt,lt_borrowing,current_asset,current_liabilities,shareholder_equity,stock_issued,intangible_asset,operating_income,extra_income,total_sales,gross_profit,cogs,cf_operation
0,005380,운수장비,자동차,2012,1215378.1,407845.4,41424.7,339801.2,328357.0,479175.8,285479.0,28832.2,84406.0,2430.2,844697.2,195024.5,649672.7,844697.2
1,005380,운수장비,자동차,2013,1334214.8,449190.1,46660.3,376775.1,319196.8,565827.9,285479.0,31290.9,83155.0,715.5,873076.4,194481.5,678594.9,873076.4
2,005380,운수장비,자동차,2014,1472251.2,494248.8,74304.3,425271.0,351796.7,626205.7,285479.0,38216.6,75499.9,-2682.3,892563.2,191300.4,701262.8,892563.2
3,005380,운수장비,자동차,2015,1653679.5,572730.3,85526.2,437519.3,412135.2,668814.0,285479.0,42980.9,63579.1,528.7,919587.4,182574.4,737013.0,919587.4
4,005380,운수장비,자동차,2016,1788359.3,628815.6,133899.8,475840.1,436097.9,723445.8,285479.0,45861.7,51935.0,-490.8,936490.2,176893.0,759597.2,936490.2
5,005490,철강금속,철강,2012,792658.5,170614.3,51194.3,315661.2,197750.0,424294.2,87187.0,56623.6,36531.1,-3613.4,636041.5,74612.6,561428.9,636041.5
6,005490,철강금속,철강,2013,844554.1,183922.2,69747.7,316662.1,202411.6,458220.3,87187.0,59298.4,29961.3,-4217.3,618646.5,68600.6,550045.9,618646.5
7,005490,철강금속,철강,2014,852521.7,180838.0,72504.5,326273.8,218770.1,452913.6,87187.0,68849.9,32135.3,-7102.7,650984.5,72834.0,578150.4,650984.5
8,005490,철강금속,철강,2015,804087.6,152076.1,67381.3,291808.9,201309.3,450702.2,87187.0,64057.5,24100.4,-8932.5,581923.4,65342.5,516581.0,581923.4
9,005490,철강금속,철강,2016,797629.9,150092.0,63648.1,293038.3,189154.0,458383.9,87187.0,60887.3,28443.2,-5405.8,530835.1,66895.5,463939.6,530835.1
10,028260,유통업,복합기업,2012,66422.9,17738.2,3240.2,7294.1,10632.6,38052.1,2500.0,1593.6,692.5,-142.8,27025.6,4340.6,22685.0,27025.6
11,028260,유통업,복합기업,2013,85538.9,27639.7,5055.4,17529.4,18407.8,39491.3,2500.0,2377.2,1110.9,-526.9,32260.6,5838.4,26422.2,32260.6
12,028260,유통업,복합기업,2014,95114.3,29606.0,883.5,19801.0,12655.4,52852.9,135000.0,2747.5,2134.1,240.6,51295.6,16327.0,34968.7,51295.6
13,028260,유통업,복합기업,2015,423614.3,89731.1,11982.1,125411.3,150743.8,183139.4,191317.0,18401.7,371.4,29521.6,133446.8,21459.5,111987.2,133446.8
14,028260,유통업,복합기업,2016,444585.2,86478.6,12820.9,133585.5,147049.5,211057.1,191317.0,16013.0,1395.2,1353.0,281026.8,33317.3,247709.5,281026.8
15,012330,운수장비,자동차부품,2012,300470.0,24642.1,6957.3,137934.5,70663.5,170397.1,97369.0,10468.7,29063.9,-221.8,307890.2,45441.8,262448.4,307890.2
16,012330,운수장비,자동차부품,2013,344303.1,33094.4,10901.7,154924.0,71585.6,201931.9,97369.0,9790.3,29244.0,438.3,341985.9,48129.5,293856.5,341985.9
17,012330,운수장비,자동차부품,2014,391119.2,35245.1,9655.5,176269.1,78745.6,232861.0,97348.0,9673.0,31412.4,38.0,351266.1,51232.0,300034.1,351266.1
18,012330,운수장비,자동차부품,2015,377748.3,38079.7,13055.0,159248.4,82906.2,256762.4,97348.0,9309.7,29345.7,803.3,360197.5,51478.3,308719.2,360197.5
19,012330,운수장비,자동차부품,2016,417116.1,43202.1,16668.6,182631.3,88334.1,285579.9,97348.0,9610.2,29046.9,-581.8,382617.5,52957.3,329660.2,382617.5
20,015760,전기가스,전기유틸리티,2012,1461528.2,762715.4,46749.4,139334.8,188170.8,510642.0,641964.0,8838.1,-8179.2,-14824.1,494215.1,9622.5,484592.6,494215.1
21,015760,전기가스,전기유틸리티,2013,1555273.3,838627.5,45383.9,152690.8,202138.5,514507.4,641964.0,8132.5,15189.7,4288.7,540378.0,34421.6,505956.4,540378.0
22,015760,전기가스,전기유틸리티,2014,1637082.9,872832.1,34752.1,168198.6,216000.7,548250.1,641964.0,8236.4,57875.7,4215.1,574748.8,77119.3,497629.5,574748.8
23,015760,전기가스,전기유틸리티,2015,1752573.6,846040.4,19322.6,220253.3,227108.4,679424.8,641964.0,8584.1,113467.3,89341.4,589577.2,134999.9,454577.3,589577.2
24,015760,전기가스,전기유틸리티,2016,1778370.4,800472.7,17738.9,197085.3,247392.3,730505.5,641964.0,9834.0,120016.0,2947.6,601903.8,146408.3,455495.5,601903.8
25,034730,기타금융업,복합기업,2012,51219.8,16931.3,39.0,11940.5,11919.4,22369.0,50000.0,1192.3,2007.3,-51.0,22418.0,22418.0,0.0,22418.0
26,034730,기타금융업,복합기업,2013,52929.3,19189.1,0.0,9883.4,8732.1,25008.0,50000.0,1125.9,2251.9,-95.3,23017.5,23017.5,0.0,23017.5
27,034730,기타금융업,복합기업,2014,53070.4,20641.4,0.0,9271.3,6405.3,26023.7,50000.0,1017.4,2715.4,90.2,24259.7,2825.0,21434.7,24259.7
28,034730,기타금융업,복합기업,2015,966338.1,306372.4,29881.9,297651.3,259193.2,400772.5,70926.0,97494.3,14067.5,44859.0,392995.3,39168.0,353827.3,392995.3
29,034730,기타금융업,복합기업,2016,1030473.4,320040.0,37567.5,324500.4,287166.1,423267.2,70926.0,117723.9,52981.8,-8252.8,836174.9,98478.0,737696.9,836174.9
30,017670,통신업,무선통신서비스,2012,255955.6,65658.8,3692.4,52944.2,61749.0,128547.8,80746.0,44341.4,17300.5,76.1,161414.1,161414.1,0.0,161414.1
31,017670,통신업,무선통신서비스,2013,265765.2,63407.4,1048.1,51234.2,60692.2,141665.6,80746.0,44840.4,20111.1,-4327.1,166020.5,166020.5,0.0,166020.5
