,code,year,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_equityoffer,f_dmargin,f_dturnover,f_total
0,005380,2012,0,0,0,0,0,0,1,0,0,1
1,005380,2013,1,1,0,1,0,1,1,0,0,5
2,005380,2014,1,1,0,1,0,1,1,0,0,5
3,005380,2015,1,1,0,1,0,1,1,0,0,5
4,005380,2016,1,1,0,1,1,1,1,0,0,6
5,005490,2012,0,0,0,0,0,0,1,0,0,1
6,005490,2013,1,1,0,1,0,1,1,0,0,5
7,005490,2014,1,1,1,1,0,1,1,1,0,7
8,005490,2015,1,1,0,1,1,1,1,1,0,7
9,005490,2016,1,1,1,1,0,1,1,1,0,7
10,028260,2012,0,0,0,0,0,0,1,0,0,1
11,028260,2013,1,1,0,1,0,1,1,0,0,5
12,028260,2014,1,1,1,1,0,1,0,1,1,7
13,028260,2015,1,1,0,1,0,1,0,0,1,5
14,028260,2016,1,1,0,1,1,1,1,0,0,6
15,012330,2012,0,0,0,0,0,0,1,0,0,1
16,012330,2013,1,1,0,1,0,1,1,0,0,5
17,012330,2014,1,1,0,1,0,1,1,1,0,6
18,012330,2015,1,1,0,1,0,1,1,0,0,5
19,012330,2016,1,1,1,1,0,1,1,0,1,7
20,015760,2012,0,0,0,0,0,0,1,0,0,1
21,015760,2013,1,1,0,1,0,1,1,0,0,5
22,015760,2014,1,1,1,1,0,1,1,1,0,7
23,015760,2015,1,1,1,1,1,1,1,1,0,8
24,015760,2016,1,1,0,1,1,1,1,1,0,7
25,034730,2012,0,0,0,0,0,0,1,0,0,1
26,034730,2013,1,1,0,1,0,1,1,0,0,5
27,034730,2014,1,1,1,1,0,1,1,0,1,7
28,034730,2015,1,1,1,1,0,1,0,0,1,6
29,034730,2016,1,1,0,1,1,1,1,1,0,7
30,017670,2012,0,0,0,0,0,0,1,0,0,1
31,017670,2013,1,1,0,1,0,1,1,0,0,5
32,017670,2014,1,1,0,1,0,1,1,0,0,5
33,017670,2015,1,1,0,1,0,1,1,0,0,5
34,017670,2016,1,1,0,1,0,1,1,0,0,5
35,096770,2012,0,0,0,0,0,0,1,0,0,1
36,096770,2013,1,1,0,1,0,1,1,0,0,5
37,096770,2014,0,1,0,1,0,1,1,0,0,4
38,096770,2015,1,1,1,1,1,1,1,1,0,8
39,096770,2016,1,1,1,1,1,1,1,1,0,8
40,066570,2012,0,0,0,0,0,0,1,0,0,1
41,066570,2013,1,1,0,1,0,1,1,0,0,5
42,066570,2014,1,1,1,1,0,1,1,1,1,8
43,066570,2015,1,1,0,1,0,1,1,0,0,5
44,066570,2016,1,1,1,1,0,1,1,1,1,8
45,003550,2012,0,0,0,0,0,0,1,0,0,1
46,003550,2013,1,1,0,1,0,1,1,0,0,5
47,003550,2014,1,1,0,1,0,1,1,0,0,5
48,003550,2015,1,1,1,1,0,1,1,1,0,7
49,003550,2016,1,1,1,1,1,1,1,1,1,9
50,000270,2012,0,0,0,0,0,0,1,0,0,1
51,000270,2013,1,1,0,1,0,1,1,0,0,5
52,000270,2014,1,1,0,1,0,1,1,0,0,5
53,000270,2015,1,1,0,1,1,1,1,1,0,7
54,000270,2016,1,1,0,1,0,1,1,0,0,5
55,006400,2012,0,0,0,0,0,0,1,0,0,1
56,006400,2013,0,1,0,1,0,1,1,0,0,4
57,006400,2014,1,1,1,1,0,1,0,0,1,6
58,006400,2015,0,1,0,1,1,1,1,0,0,5
59,006400,2016,0,1,0,1,0,1,1,0,1,5
60,034220,2012,0,0,0,0,0,0,1,0,0,1
61,034220,2013,1,1,0,1,0,1,1,0,0,5
62,034220,2014,1,1,1,1,0,1,1,1,1,8
63,034220,2015,1,1,1,1,1,1,1,1,1,9
64,034220,2016,1,1,0,1,0,1,1,0,0,5
65,139480,2012,0,0,0,0,0,0,1,0,0,1
66,139480,2013,1,1,0,1,0,1,1,0,0,5
67,139480,2014,1,1,0,1,0,1,1,1,0,6
68,139480,2015,1,1,0,1,1,1,1,0,0,6
69,139480,2016,1,1,1,1,1,1,1,1,1,9
70,009540,2012,0,0,0,0,0,0,1,0,0,1
71,009540,2013,1,1,0,1,0,1,1,0,0,5
72,009540,2014,0,1,0,1,0,1,1,0,0,4
73,009540,2015,0,1,1,1,0,1,1,1,0,6
74,009540,2016,1,1,1,1,1,1,1,1,0,8
75,030200,2012,0,0,0,0,0,0,1,0,0,1
76,030200,2013,1,1,0,1,0,1,1,0,0,5
77,030200,2014,0,1,0,1,0,1,1,0,0,4
78,030200,2015,1,1,1,1,1,1,1,0,1,8
79,030200,2016,1,1,1,1,0,1,1,0,1,7
80,004020,2012,0,0,0,0,0,0,1,0,0,1
81,004020,2013,1,1,0,1,0,1,1,0,0,5
82,004020,2014,1,1,1,1,0,1,1,1,0,7
83,004020,2015,1,1,1,1,0,1,0,1,0,6
84,004020,2016,1,1,0,1,1,1,1,0,0,6
85,023530,2012,0,0,0,0,0,0,1,0,0,1
86,023530,2013,1,1,0,1,0,1,1,0,0,5
87,023530,2014,1,1,0,1,0,1,1,1,0,6
88,023530,2015,1,1,0,1,0,1,1,0,1,6
89,023530,2016,1,1,1,1,1,1,1,1,0,8
90,161390,2012,0,0,0,0,0,0,1,0,0,1
91,161390,2013,1,1,0,1,0,1,1,0,0,5
92,161390,2014,1,1,0,1,0,1,1,1,0,6
93,161390,2015,1,1,0,1,0,1,1,1,0,6
94,161390,2016,1,1,1,1,1,1,1,1,0,8
95,078930,2012,0,0,0,0,0,0,1,0,0,1
96,078930,2013,1,1,0,1,0,1,1,0,0,5
97,078930,2014,0,1,0,1,0,1,1,0,1,5
98,078930,2015,1,1,1,1,0,0,1,1,0,6
99,078930,2016,1,1,0,1,0,0,1,1,0,5
100,032640,2012,0,0,0,0,0,0,1,0,0,1
101,032640,2013,1,1,0,1,0,1,1,0,0,5
102,032640,2014,1,1,1,1,0,1,1,0,0,6
103,032640,2015,1,1,1,1,1,1,1,0,0,7
104,032640,2016,1,1,1,1,1,1,1,0,1,8
105,009830,2012,0,0,0,0,0,0,1,0,0,1
106,009830,2013,1,1,0,1,0,1,1,0,0,5
107,009830,2014,1,1,1,1,0,1,0,0,0,5
108,009830,2015,1,1,1,1,1,1,1,1,1,9
109,009830,2016,1,1,1,1,1,1,0,1,1,8
110,001040,2012,0,0,0,0,0,0,1,0,0,1
111,001040,2013,1,1,0,1,0,1,1,0,0,5
112,001040,2014,1,1,1,1,0,1,0,1,1,7
113,001040,2015,1,1,1,1,1,1,0,1,1,8
114,001040,2016,1,1,0,1,0,1,0,0,1,5
115,000720,2012,0,0,0,0,0,0,1,0,0,1
116,000720,2013,1,1,0,1,0,1,1,0,0,5
117,000720,2014,1,1,1,1,0,1,1,1,1,8
118,000720,2015,1,1,1,1,1,1,1,1,0,8
119,000720,2016,1,1,1,1,1,1,1,1,0,8
120,004800,2012,0,0,0,0,0,0,1,0,0,1
121,004800,2013,1,1,0,1,0,1,1,0,0,5
122,004800,2014,1,1,1,1,0,1,1,1,0,7
123,004800,2015,1,1,1,1,0,1,1,1,1,8
124,004800,2016,1,1,1,1,1,1,1,1,0,8
125,097950,2012,0,0,0,0,0,0,1,0,0,1
126,097950,2013,1,1,0,1,0,1,1,0,0,5
127,097950,2014,1,1,1,1,0,1,0,1,1,7
128,097950,2015,1,1,1,1,1,1,0,1,1,8
129,097950,2016,1,1,1,1,0,1,0,1,1,7
130,036460,2012,0,0,0,0,0,0,1,0,0,1
131,036460,2013,1,1,0,1,0,1,1,0,0,5
132,036460,2014,1,1,0,1,0,1,1,0,0,5
133,036460,2015,1,1,0,1,1,1,1,1,0,7
134,036460,2016,1,1,1,1,0,1,1,1,0,7
135,002380,2012,0,0,0,0,0,0,1,0,0,1
136,002380,2013,1,1,0,1,0,1,1,0,0,5
137,002380,2014,1,1,1,1,0,1,1,1,1,8
138,002380,2015,1,1,0,1,1,1,0,1,0,6
139,002380,2016,1,1,1,1,0,1,1,1,1,8
140,010060,2012,0,0,0,0,0,0,1,0,0,1
141,010060,2013,0,1,0,1,0,0,1,0,0,3
142,010060,2014,0,1,1,1,0,0,1,0,0,4
143,010060,2015,0,1,0,1,1,0,1,0,1,5
144,010060,2016,1,1,1,1,0,0,1,1,1,7
145,241560,2012,0,0,0,0,0,0,1,0,0,1
146,241560,2013,0,0,0,0,0,0,1,0,0,1
147,241560,2014,1,1,0,0,0,1,0,0,0,3
148,241560,2015,1,1,0,1,1,1,1,1,0,7
