,code,year,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_equityoffer,f_dmargin,f_dturnover,f_total
4,005380,2016,1,1,0,1,1,1,1,0,0,6
9,005490,2016,1,1,1,1,0,1,1,1,0,7
14,028260,2016,1,1,0,1,1,1,1,0,0,6
19,012330,2016,1,1,1,1,0,1,1,0,1,7
24,015760,2016,1,1,0,1,1,1,1,1,0,7
29,034730,2016,1,1,0,1,1,1,1,1,0,7
34,017670,2016,1,1,0,1,0,1,1,0,0,5
39,096770,2016,1,1,1,1,1,1,1,1,0,8
44,066570,2016,1,1,1,1,0,1,1,1,1,8
49,003550,2016,1,1,1,1,1,1,1,1,1,9
54,000270,2016,1,1,0,1,0,1,1,0,0,5
59,006400,2016,0,1,0,1,0,1,1,0,1,5
64,034220,2016,1,1,0,1,0,1,1,0,0,5
69,139480,2016,1,1,1,1,1,1,1,1,1,9
74,009540,2016,1,1,1,1,1,1,1,1,0,8
79,030200,2016,1,1,1,1,0,1,1,0,1,7
84,004020,2016,0,1,0,1,1,1,1,1,0,6
89,023530,2016,1,1,1,1,1,1,1,1,0,8
94,161390,2016,1,1,1,1,1,1,1,1,0,8
99,078930,2016,1,1,0,1,1,1,1,1,0,7
104,032640,2016,1,1,1,1,1,1,1,0,1,8
109,009830,2016,1,1,1,1,1,1,0,1,1,8
114,001040,2016,1,1,0,1,0,1,0,0,1,5
119,000720,2016,1,1,1,1,1,1,1,1,0,8
124,004800,2016,1,1,1,1,1,1,1,1,0,8
129,097950,2016,1,1,1,1,0,1,0,1,1,7
134,036460,2016,1,1,1,1,0,1,1,1,0,7
139,002380,2016,1,1,1,1,0,1,1,1,1,8
144,010060,2016,1,1,1,1,1,1,1,1,1,9
149,241560,2016,1,1,1,1,1,1,0,1,0,7
154,010140,2016,0,1,1,1,1,1,0,1,1,7
159,000880,2016,1,1,1,1,1,1,0,1,0,7
164,004170,2016,1,1,0,1,0,1,1,1,1,7
169,012630,2016,1,1,1,1,1,1,1,1,1,9
174,000120,2016,1,1,1,1,0,1,1,1,1,8
179,028670,2016,1,1,0,1,1,1,0,0,1,6
184,007070,2016,1,1,0,1,1,1,1,0,0,6
189,047050,2016,1,1,1,1,1,1,1,0,1,8
194,000210,2016,1,1,1,1,0,1,1,1,0,7
199,047040,2016,0,1,0,1,1,1,1,0,1,6
204,006260,2016,1,1,1,1,1,1,1,1,1,9
209,069960,2016,1,1,0,1,1,1,1,0,1,7
214,006360,2016,1,1,1,1,0,1,1,0,1,7
219,042670,2016,1,1,1,1,1,1,1,1,1,9
224,000150,2016,1,1,1,1,1,1,1,1,0,8
229,010620,2016,1,1,1,1,1,1,1,1,0,8
234,003410,2016,1,1,1,1,1,1,0,1,1,8
