,code,employee,homepage,hq_address,ics,market,name
0,005930,"99,836 (2017/12)",http://www.samsung.com,경기도 수원시 영통구 삼성로 129(매탄동),전기전자,KOSPI,삼성전자
1,000660,"23,278 (2017/12)",http://www.skhynix.com,경기도 이천시 부발읍 경충대로 2091,전기전자,KOSPI,SK하이닉스
2,207940,"2,064 (2017/12)",http://www.samsungbiologics.com,인천광역시 연수구 송도바이오대로 300,의약품,KOSPI,삼성바이오로직스
3,005935,"99,836 (2017/12)",http://www.samsung.com,경기도 수원시 영통구 삼성로 129(매탄동),전기전자,KOSPI,삼성전자우
4,068270,"1,438 (2017/12)",http://www.celltrion.com,인천광역시 연수구 아카데미로 23 (송도동),의약품,KOSPI,셀트리온
5,005380,"68,194 (2017/12)",http://www.hyundai.com,서울특별시 서초구 헌릉로 12 (양재동),운수장비,KOSPI,현대차
6,005490,"17,013 (2017/12)",http://www.posco.co.kr,경상북도 포항시 남구 동해안로 6261 (괴동동),철강금속,KOSPI,POSCO
7,051910,"16,930 (2017/12)",http://www.lgchem.com,"서울특별시 영등포구 여의대로 128, LG트윈타워빌딩 (여의도동)",화학,KOSPI,LG화학
8,028260,"9,775 (2017/12)",http://www.samsungcnt.com,서울특별시 송파구 올림픽로35길 123,유통업,KOSPI,삼성물산
9,035420,"2,655 (2017/12)",http://www.navercorp.com,"경기도 성남시 분당구 불정로 6, 그린팩토리 (정자동)",서비스업,KOSPI,NAVER
10,105560,160 (2017/12),http://www.kbfg.com,"서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)",기타금융업,KOSPI,KB금융
11,012330,"9,464 (2017/12)",http://www.mobis.co.kr,서울시 강남구 테헤란로 203,운수장비,KOSPI,현대모비스
12,032830,"5,302 (2017/12)",http://www.samsunglife.com,서울특별시 서초구 서초대로74길 11 (서초동) 삼성생명보험 주식회사,보험업,KOSPI,삼성생명
13,015760,"21,392 (2017/12)",http://www.kepco.co.kr,전라남도 나주시 전력로 55,전기가스,KOSPI,한국전력
14,055550,143 (2017/12),http://www.shinhangroup.com,"서울특별시 중구 세종대로9길 20, 대경빌딩 16층 (태평로2가)",기타금융업,KOSPI,신한지주
15,034730,"4,507 (2017/12)",http://www.sk.co.kr,서울특별시 종로구 종로 26 SK주식회사,기타금융업,KOSPI,SK
16,051900,"4,409 (2017/12)",http://www.lgcare.com,서울시 종로구 새문안로 58,화학,KOSPI,LG생활건강
17,090430,"6,109 (2017/12)",http://www.amorepacific.com,서울특별시 용산구 한강대로 100 (한강로2가),화학,KOSPI,아모레퍼시픽
18,096770,"1,577 (2017/12)",http://www.skinnovations.co.kr,서울시 종로구 종로26 (서린동SK빌딩),기타금융업,KOSPI,SK이노베이션
19,017670,"4,481 (2017/12)",http://www.sktelecom.com,서울특별시 중구 을지로 65 (을지로2가),통신업,KOSPI,SK텔레콤
20,018260,"13,060 (2017/12)",http://www.sds.samsung.co.kr,서울특별시 송파구 올림픽로35길 125(신천동),서비스업,KOSPI,삼성에스디에스
21,066570,"37,700 (2017/12)",http://www.lge.co.kr,서울시 영등포구 여의대로 128 LG트윈타워,전기전자,KOSPI,LG전자
22,003550,114 (2017/12),http://www.lg.co.kr,서울시 영등포구 여의대로 128  LG트윈타워,기타금융업,KOSPI,LG
23,011170,"3,102 (2017/12)",http://www.lottechem.com,서울특별시 송파구 올림픽로 300 롯데월드타워,화학,KOSPI,롯데케미칼
24,033780,"4,097 (2017/12)",http://www.ktng.com,대전시 대덕구 벚꽃길 71,미분류,KOSPI,KT&G
25,010950,"3,258 (2017/12)",http://www.s-oil.com,서울시 마포구 백범로 192(공덕동 471),화학,KOSPI,S-Oil
26,006400,"9,356 (2017/12)",http://www.samsungsdi.co.kr,경기도 용인시 기흥구 공세로 150-20,전기전자,KOSPI,삼성SDI
27,086790,79 (2017/12),http://www.hanafn.com,서울특별시 중구 을지로 66 (을지로 2가),기타금융업,KOSPI,하나금융지주
28,000270,"34,752 (2017/12)",http://www.kia.com,서울특별시 서초구 헌릉로 12 (양재동),운수장비,KOSPI,기아차
29,000810,"5,838 (2017/12)",http://www.samsungfire.com,서울특별시 서초구 서초대로74길 14 (서초동),보험업,KOSPI,삼성화재
30,251270,675 (2017/12),http://www.netmarble.com,"서울특별시 구로구 디지털로 300(구로동, 지밸리비즈플라자)",서비스업,KOSPI,넷마블게임즈
31,002790,149 (2017/12),http://www.amorepacific.com,서울특별시 용산구 한강대로 100 (한강로2가),기타금융업,KOSPI,아모레G
32,000030,"14,963 (2017/12)",http://www.wooribank.com,서울특별시 중구 소공로 51 (회현동1가),은행,KOSPI,우리은행
33,035720,"2,629 (2017/12)",http://www.kakaocorp.com,제주도 제주시 첨단로 242,서비스업,KOSPI,카카오
34,034220,"33,242 (2017/12)",http://www.lgdisplay.com,서울시 영등포구 여의대로 128 LG트윈타워 동관 12층,전기전자,KOSPI,LG디스플레이
35,024110,"12,653 (2017/12)",http://www.ibk.co.kr,"서울특별시 중구 을지로 79, 중소기업은행본점건물 (을지로2가)",은행,KOSPI,기업은행
36,009540,"16,634 (2017/12)",http://www.hhi.co.kr,울산시 동구 방어진 순환도로 1000,운수장비,KOSPI,현대중공업
37,010130,"1,370 (2017/12)",http://www.koreazinc.co.kr,서울특별시 강남구 강남대로 542 (논현동),철강금속,KOSPI,고려아연
38,036570,"3,177 (2017/12)",http://www.ncsoft.com,서울시 강남구 테헤란로 509,서비스업,KOSPI,엔씨소프트
39,009150,"10,572 (2017/12)",http://www.samsungsem.co.kr,경기도 수원시 영통구 매영로 150(매탄동),전기전자,KOSPI,삼성전기
40,139480,"27,582 (2017/12)",http://www.emartcompany.com,서울시 성동구 성수동 2가 뚝섬로 377,유통업,KOSPI,이마트
41,030200,"23,632 (2017/12)",http://www.kt.com,경기도 성남시 분당구 불정로 90 (정자동),통신업,KOSPI,KT
42,023530,"26,014 (2017/12)",http://www.lotteshopping.com,서울특별시 중구  남대문로 81 (소공동),유통업,KOSPI,롯데쇼핑
43,267250,276 (2017/12),http://www.hyundai-robotics.com,대구광역시 달성군 유가면 테크노순환로3길 50,기타금융업,KOSPI,현대중공업지주
44,004020,"11,281 (2017/12)",http://www.hyundai-steel.com,인천광역시 동구 중봉대로 63 (송현동),철강금속,KOSPI,현대제철
45,021240,"4,846 (2017/12)",http://www.coway.co.kr,충남 공주시 유구읍 유구마곡사로 136-23,서비스업,KOSPI,코웨이
46,086280,"1,209 (2017/12)",http://www.glovis.net,서울특별시 강남구 테헤란로 301,운수창고,KOSPI,현대글로비스
47,161390,"6,682 (2017/12)",http://kr.hankooktire.com,서울시 강남구 테헤란로 133 (역삼동),화학,KOSPI,한국타이어
48,128940,"2,166 (2017/12)",http://www.hanmi.co.kr,경기도 화성시 팔탄면 무하로 214,의약품,KOSPI,한미약품
49,018880,"2,204 (2017/12)",http://www.hanonsystems.com,대전광역시 대덕구 신일서로 95 (신일동),기계,KOSPI,한온시스템
50,006800,"4,670 (2017/12)",http://www.miraeassetdaewoo.com,서울특별시 중구 을지로5길 26 미래에셋 센터원빌딩 이스트타워,증권,KOSPI,미래에셋대우
51,008930,78 (2017/12),http://www.hanmiscience.co.kr,경기도 화성시 동탄면 동탄기흥로 550,기타금융업,KOSPI,한미사이언스
52,035250,"3,694 (2017/12)",http://kangwonland.high1.com,강원도 정선군 사북읍 하이원길 265,서비스업,KOSPI,강원랜드
53,078930,26 (2017/12),http://www.gs.co.kr,"서울특별시 강남구 논현로 508, GS타워 23층 (역삼동)",기타금융업,KOSPI,GS
54,069500, (),,,미분류,KOSPI,KODEX 200
55,032640,"8,742 (2017/12)",http://www.uplus.co.kr,서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥,통신업,KOSPI,LG유플러스
56,088350,"3,792 (2017/12)",http://www.hanwhalife.com,서울시 영등포구 63로50 (여의도동 한화금융센터 63),보험업,KOSPI,한화생명
57,271560,"1,833 (2017/12)",http://www.orionworld.com,서울특별시 용산구 백범로90다길 13,음식료,KOSPI,오리온
58,009830,"2,458 (2017/12)",http://hcc.hanwha.co.kr,서울특별시 중구 청계천로 86 한화빌딩,화학,KOSPI,한화케미칼
59,097950,"5,833 (2017/12)",http://www.cj.co.kr,서울시 중구 동호로 330 CJ제일제당센터,음식료,KOSPI,CJ제일제당
60,000720,"6,925 (2017/12)",http://www.hdec.kr,서울시 종로구 율곡로 75(계동) 140-2 현대건설빌딩,건설업,KOSPI,현대건설
61,036460,"3,737 (2017/12)",http://www.kogas.or.kr,대구광역시 동구 첨단로 120,전기가스,KOSPI,한국가스공사
62,001040,34 (2017/12),http://www.cj.net,"서울특별시 중구 동호로 330 쌍림동, 씨제이제일제당센터",기타금융업,KOSPI,CJ
63,004990,178 (2017/12),http://www.lotteconf.co.kr,서울특별시 송파구 올림픽로 300 롯데월드타워,기타금융업,KOSPI,롯데지주
64,047810,"4,161 (2017/12)",http://www.koreaaero.com,경남 사천시 사남면 공단1로 78,운수장비,KOSPI,한국항공우주
65,071050,46 (2017/12),http://www.koreaholdings.com,서울시 영등포구 의사당대로 88,기타금융업,KOSPI,한국금융지주
66,004800,"7,852 (2017/12)",http://www.hyosung.com,서울시 마포구 마포대로 119,화학,KOSPI,효성
67,005830,"4,497 (2017/12)",http://www.idongbu.com,서울시 강남구 테헤란로 432 동부금융센터,보험업,KOSPI,DB손해보험
68,029780,"2,079 (2017/12)",http://www.samsungcard.com,서울시 중구 세종대로 67(태평로2가),기타금융업,KOSPI,삼성카드
69,010060,"2,357 (2017/12)",http://www.oci.co.kr,"서울특별시 중구 소공로 94, (서울특별시 중구 소공로 94) (소공동)",화학,KOSPI,OCI
70,004170,"3,195 (2017/12)",http://www.shinsegae.com,"서울특별시 중구 소공로 63, 신세계백화점건물 (충무로1가)",유통업,KOSPI,신세계
71,008770,"2,448 (2017/12)",http://www.hotelshilla.net,서울특별시 중구 동호로 249 (장충동2가),유통업,KOSPI,호텔신라
72,005940,"2,811 (2017/12)",http://www.nhqv.com,"서울특별시 영등포구 여의대로 60, 우리투자증권빌딩 (여의도동)",증권,KOSPI,NH투자증권
73,002380,"5,178 (2017/12)",http://www.kccworld.co.kr,서울시 서초구 사평대로 344,화학,KOSPI,KCC
74,005387,"68,194 (2017/12)",http://www.hyundai.com,서울특별시 서초구 헌릉로 12 (양재동),운수장비,KOSPI,현대차2우B
75,012750,"6,096 (2017/12)",http://www.s1.co.kr,서울시 중구 세종대로7길 25,서비스업,KOSPI,에스원
76,028050,"4,950 (2017/12)",http://www.samsungengineering.co.kr,서울시 강동구 상일로6길 26,서비스업,KOSPI,삼성엔지니어링
77,009240,"3,025 (2017/12)",http://www.hanssem.com,경기도 안산시 단원구 번영2로 144,유통업,KOSPI,한샘
78,138930,95 (2017/12),http://www.bnkfg.com,부산광역시 남구 문현금융로 30 (문현동),기타금융업,KOSPI,BNK금융지주
79,012630,"1,748 (2017/12)",http://www.hyundai-dvp.com,서울시 용산구 한강대로 23길 55,건설업,KOSPI,현대산업
80,001450,"4,190 (2017/12)",http://www.hi.co.kr,서울시 종로구 세종대로 163 현대해상화재보험빌딩,보험업,KOSPI,현대해상
81,016360,"2,253 (2017/12)",http://www.samsungpop.com,서울특별시 서초구 서초대로74길 11(서초동),증권,KOSPI,삼성증권
82,003490,"18,369 (2017/12)",http://www.koreanair.com,서울특별시 강서구 하늘길 260 (공항동),운수창고,KOSPI,대한항공
83,079440,731 (2017/12),http://www.inglife.co.kr,"서울특별시 중구 세종대로7길 37(순화동, 아이엔지센터)",보험업,KOSPI,아이엔지생명
84,241560,63 (2017/12),http://www.doosanbobcat.com,"서울특별시 중구 장충단로 275 (을지로6가, 두산타워빌딩)",기타금융업,KOSPI,두산밥캣
85,088980, (2013/12),http://www.macquarie.com,서울시 중구 소공동 110 한화빌딩 11층,기타금융업,KOSPI,맥쿼리인프라
86,282330, (2017/12),http://www.bgfretail.com,서울특별시 강남구 테헤란로 405 BGF사옥,유통업,KOSPI,BGF리테일
87,000120,"5,512 (2017/12)",http://www.cjkoreaexpress.co.kr,서울시 중구 세종대로9길 53 대한통운빌딩,운수창고,KOSPI,CJ대한통운
88,000100,"1,769 (2017/12)",http://www.yuhan.co.kr,서울시 동작구 노량진로 74,의약품,KOSPI,유한양행
