code,market_type,date,present_value,quant,buy_total,sell_total,market_sum,per,pbr
005930,0,2018-04-30,2650000,0,0,0,3402242,9.78,1.74
000660,0,2018-04-30,84500,4412687,490930,278694,615162,5.78,1.76
005935,0,2018-04-30,2125000,0,0,0,384042,7.84,1.4
005380,0,2018-04-30,160000,351174,108825,124739,352442,11.33,0.62
068270,0,2018-04-30,271000,1022167,71751,65076,339044,84.82,13.92
005490,0,2018-04-30,372500,357549,23028,16858,324771,11.64,0.68
207940,0,2018-04-30,488000,233991,22164,11257,322885,-332.88,8.12
028260,0,2018-04-30,140000,409655,366108,183168,265566,41.87,1.02
105560,0,2018-04-30,61200,561581,131174,235873,255884,7.73,0.72
051910,0,2018-04-30,360000,154986,15537,25114,254132,14.48,1.71
012330,0,2018-04-30,248000,163884,27337,25919,241413,15.4,0.8
015760,0,2018-04-30,37450,2820836,81442,316046,240416,18.51,0.34
035420,0,2018-04-30,716000,60470,17868,7270,236013,30.54,4.42
032830,0,2018-04-30,117000,111975,62867,67015,234000,20.07,0.72
055550,0,2018-04-30,47650,595712,153918,151729,225956,7.74,0.69
051900,0,2018-04-30,1370000,42344,541,1698,213969,40.01,7.66
034730,0,2018-04-30,294000,81979,31583,12368,206859,12.43,1.21
090430,0,2018-04-30,349000,202542,21194,39259,204020,61.13,5.8
018260,0,2018-04-30,245000,83270,14636,28346,189576,35.75,3.41
017670,0,2018-04-30,228500,143344,21531,17623,184504,7.1,0.9
096770,0,2018-04-30,196500,213769,30469,41776,181695,8.75,1.01
066570,0,2018-04-30,102000,573590,131502,215650,166921,10.69,1.39
086790,0,2018-04-30,47750,561809,90940,135039,143366,6.94,0.59
011170,0,2018-04-30,414000,56134,4058,6907,141900,6.32,1.24
003550,0,2018-04-30,81100,171638,38469,29904,139944,5.95,0.89
033780,0,2018-04-30,97800,161786,98275,39098,134272,11.54,1.59
000270,0,2018-04-30,33100,1718503,115885,273945,134175,13.86,0.49
000810,0,2018-04-30,267500,54000,13639,22618,126728,14.0,0.95
006400,0,2018-04-30,183500,163778,25018,33931,126183,19.65,1.09
251270,0,2018-04-30,147500,548215,30382,86731,125524,37.84,2.9
010950,0,2018-04-30,110000,236041,162788,54484,123841,10.29,1.87
002790,0,2018-04-30,143000,66661,18016,18947,117915,62.75,3.97
000030,0,2018-04-30,16050,1239666,351363,644728,108498,7.17,0.53
024110,0,2018-04-30,16850,687032,174789,519929,94356,7.38,0.56
