,code,name
156,003240,태광산업
296,003920,남양유업
605,004440,대림씨엔에스
639,005800,신영와코루
718,007540,샘표
774,079660,사조해표
793,123700,SJM
803,004090,한국석유
1471,028150,GS홈쇼핑
1535,030530,원익홀딩스
1564,003800,에이스침대
1647,136480,하림
1695,121440,골프존뉴딘
1722,011370,서한
1784,009300,삼아제약
1835,131290,티에스이
1841,079370,제우스
1906,041440,에버다임
1916,014470,부방
1927,042420,네오위즈홀딩스
1953,072470,우리산업홀딩스
1980,149950,아바텍
2009,088130,동아엘텍
2012,069510,에스텍
2074,066130,하츠
2106,080000,에스엔유
2110,101330,모베이스
2114,066360,체리부로
2162,079960,동양이엔피
2210,115310,인포바인
2212,056360,코위버
2221,900120,씨케이에이치
2289,073110,엘엠에스
2311,065570,삼영이엔씨
2333,115440,우리넷
2339,237750,피앤씨테크
2354,050960,수산아이앤티
2393,010470,오리콤
2402,032750,삼진
2421,050860,아세아텍
2427,031310,아이즈비전
2445,177830,파버나인
2451,075130,플랜티넷
2491,039310,세중
2507,187270,신화콘텍
2525,174880,장원테크
2558,176440,에이치엔티
2572,000440,중앙에너비스
2583,067010,이씨에스
2635,024940,PN풍년
2637,073190,디비케이
