,code,name
713,010770,평화홀딩스
718,007540,샘표
724,009770,삼정펄프
750,003610,방림
763,008870,금비
774,079660,사조해표
785,010040,한국내화
793,123700,SJM
803,004090,한국석유
817,084670,동양고속
819,004100,태양금속
836,000760,이화산업
838,021050,서원
840,004140,동방
846,005820,원림
847,002220,한일철강
853,071090,하이스틸
881,008110,대동전자
883,002710,TCC동양
896,006200,한국전자홀딩스
913,006110,삼아알미늄
1013,008500,일정실업
2333,115440,우리넷
2431,039610,화성밸브
2443,024740,한일단조
2445,177830,파버나인
2451,075130,플랜티넷
2456,006050,국영지앤엠
2462,019540,일지테크
2466,096040,이트론
2467,039020,이건홀딩스
2468,017000,신원종합개발
2472,100660,서암기계공업
2477,153490,우리이앤엘
2491,039310,세중
2497,008470,부스타
2498,085910,네오티스
2507,187270,신화콘텍
2508,130500,GH신소재
2514,025880,케이씨피드
2516,002680,한탑
2517,048830,엔피케이
2518,075970,동국알앤에스
2523,024060,흥구석유
2525,174880,장원테크
2528,089150,케이씨티
2541,219130,타이거일렉
2547,051390,YW
2552,054930,유신
2558,176440,에이치엔티
2559,096610,알에프세미
2564,104460,동양피엔에프
2572,000440,중앙에너비스
2573,090740,연이정보통신
2583,067010,이씨에스
2584,033050,제이엠아이
2586,032280,삼일
2591,039740,한국정보공학
2603,077280,한컴지엠디
2605,051380,피씨디렉트
2607,060380,동양에스텍
2610,050760,에스폴리텍
2611,130740,티피씨글로벌
2621,099410,동방선기
2622,043260,성호전자
2626,054410,케이피티
2635,024940,PN풍년
2637,073190,디비케이
2643,119830,아이텍반도체
2649,026910,광진실업
2654,008830,대동기어
2656,020400,대동금속
2658,090150,광진윈텍
