회사명	18_fscore	17_fscore
샘표	9	9
신대양제지	9	9
한국수출포장공업	9	9
한섬	9	9
제이엠티	9	9
모아텍	9	9
S&K폴리텍	9	9
파트론	9	9
신세계인터내셔날	9	9
롯데정밀화학	9	9
인지디스플레	9	9
장원테크	9	9
태림포장	9	9
도이치모터스	9	9
손오공	9	9
푸드웰	9	9
코엔텍	9	9
유니테스트	9	9
와이아이케이	9	9
휠라코리아	9	9
조선내화	9	9
아세아제지	9	9
유엔젤	9	9
대양제지	9	9
서울반도체	9	9
솔본	8	8
에이텍티앤	8	8
위닉스	8	8
룽투코리아	8	8
비아트론	8	8
피에스케이	8	8
에스엠	8	8
우리이앤엘	8	8
모바일어플라이언스	8	8
제일테크노스	8	8
뉴프렉스	8	8
계룡건설산업	8	8
에스넷	8	8
GS리테일	8	8
한양디지텍	8	8
BGF리테일	8	8
대한유화	8	8
케이엔더블유	8	8
제일기획	8	8
BYC	8	8
SCI평가정보	8	8
미투온	8	8
케이아이엔엑스	8	8
무림페이퍼	8	8
드림시큐리티	8	8
SG충방	8	8
슈프리마에이치큐	8	8
솔트웍스	8	8
CMG제약	8	8
알톤스포츠	8	8
제일연마	8	8
엠씨넥스	8	8
한솔홈데코	8	8
삼보판지	8	8
비츠로셀	8	8
연이정보통신	8	8
지엔씨에너지	8	8
엑셈	8	8
GS건설	8	8
KG이니시스	8	8
대유플러스	8	8
한국알콜	8	8
레드캡투어	8	8
다스코	8	8
대림산업	8	8
만도	8	8
아이즈비전	8	8
한국경제TV	8	8
드림텍	8	8
금호석유화학	8	8
금비	8	8
KMH하이텍	8	8
동일금속	8	8
오킨스전자	8	8
롯데정보통신	8	8
액트	8	8
누리텔레콤	8	8
쌍용정보통신	8	8
신풍제지	8	8
상신이디피	8	8
오리콤	8	8
성우전자	8	8
덱스터	8	8
레이언스	8	8
오리온	8	8
지어소프트	8	8
SPC삼립	8	8
삼성엔지니어링	8	8
인피니트헬스케어	8	8
샘표식품	8	8
인트론바이오	8	8
오성첨단소재	8	8
램테크놀러지	8	8
로보로보	8	8
삼성물산	8	8
솔브레인	8	8
